Código;URL do QR;Cliente;Link Google;Status
001;https://alejhey09.github.io/QR-AVALIA-O/001;;;Disponível
002;https://alejhey09.github.io/QR-AVALIA-O/002;;;Disponível
003;https://alejhey09.github.io/QR-AVALIA-O/003;;;Disponível
004;https://alejhey09.github.io/QR-AVALIA-O/004;;;Disponível
005;https://alejhey09.github.io/QR-AVALIA-O/005;;;Disponível
006;https://alejhey09.github.io/QR-AVALIA-O/006;;;Disponível
007;https://alejhey09.github.io/QR-AVALIA-O/007;;;Disponível
008;https://alejhey09.github.io/QR-AVALIA-O/008;;;Disponível
009;https://alejhey09.github.io/QR-AVALIA-O/009;;;Disponível
010;https://alejhey09.github.io/QR-AVALIA-O/010;;;Disponível
011;https://alejhey09.github.io/QR-AVALIA-O/011;;;Disponível
012;https://alejhey09.github.io/QR-AVALIA-O/012;;;Disponível
013;https://alejhey09.github.io/QR-AVALIA-O/013;;;Disponível
014;https://alejhey09.github.io/QR-AVALIA-O/014;;;Disponível
015;https://alejhey09.github.io/QR-AVALIA-O/015;;;Disponível
016;https://alejhey09.github.io/QR-AVALIA-O/016;;;Disponível
017;https://alejhey09.github.io/QR-AVALIA-O/017;;;Disponível
018;https://alejhey09.github.io/QR-AVALIA-O/018;;;Disponível
019;https://alejhey09.github.io/QR-AVALIA-O/019;;;Disponível
020;https://alejhey09.github.io/QR-AVALIA-O/020;;;Disponível
021;https://alejhey09.github.io/QR-AVALIA-O/021;;;Disponível
022;https://alejhey09.github.io/QR-AVALIA-O/022;;;Disponível
023;https://alejhey09.github.io/QR-AVALIA-O/023;;;Disponível
024;https://alejhey09.github.io/QR-AVALIA-O/024;;;Disponível
025;https://alejhey09.github.io/QR-AVALIA-O/025;;;Disponível
026;https://alejhey09.github.io/QR-AVALIA-O/026;;;Disponível
027;https://alejhey09.github.io/QR-AVALIA-O/027;;;Disponível
028;https://alejhey09.github.io/QR-AVALIA-O/028;;;Disponível
029;https://alejhey09.github.io/QR-AVALIA-O/029;;;Disponível
030;https://alejhey09.github.io/QR-AVALIA-O/030;;;Disponível
031;https://alejhey09.github.io/QR-AVALIA-O/031;;;Disponível
032;https://alejhey09.github.io/QR-AVALIA-O/032;;;Disponível
033;https://alejhey09.github.io/QR-AVALIA-O/033;;;Disponível
034;https://alejhey09.github.io/QR-AVALIA-O/034;;;Disponível
035;https://alejhey09.github.io/QR-AVALIA-O/035;;;Disponível
036;https://alejhey09.github.io/QR-AVALIA-O/036;;;Disponível
037;https://alejhey09.github.io/QR-AVALIA-O/037;;;Disponível
038;https://alejhey09.github.io/QR-AVALIA-O/038;;;Disponível
039;https://alejhey09.github.io/QR-AVALIA-O/039;;;Disponível
040;https://alejhey09.github.io/QR-AVALIA-O/040;;;Disponível
041;https://alejhey09.github.io/QR-AVALIA-O/041;;;Disponível
042;https://alejhey09.github.io/QR-AVALIA-O/042;;;Disponível
043;https://alejhey09.github.io/QR-AVALIA-O/043;;;Disponível
044;https://alejhey09.github.io/QR-AVALIA-O/044;;;Disponível
045;https://alejhey09.github.io/QR-AVALIA-O/045;;;Disponível
046;https://alejhey09.github.io/QR-AVALIA-O/046;;;Disponível
047;https://alejhey09.github.io/QR-AVALIA-O/047;;;Disponível
048;https://alejhey09.github.io/QR-AVALIA-O/048;;;Disponível
049;https://alejhey09.github.io/QR-AVALIA-O/049;;;Disponível
050;https://alejhey09.github.io/QR-AVALIA-O/050;;;Disponível
051;https://alejhey09.github.io/QR-AVALIA-O/051;;;Disponível
052;https://alejhey09.github.io/QR-AVALIA-O/052;;;Disponível
053;https://alejhey09.github.io/QR-AVALIA-O/053;;;Disponível
054;https://alejhey09.github.io/QR-AVALIA-O/054;;;Disponível
055;https://alejhey09.github.io/QR-AVALIA-O/055;;;Disponível
056;https://alejhey09.github.io/QR-AVALIA-O/056;;;Disponível
